condition,wolf_strategy,suspicion_active,n_games,village_win_rate,wolf_vote_precision,wolf_vote_recall,false_accusation_rate,sigma_gap,combined_gap,mean_d4,mean_d5,avg_days
standard_no_susp,standard,False,10000,0.326,0.2755,0.6094,0.7245,,,,,2.5735
standard_with_susp,standard,True,10000,0.3527,0.4238,0.8711,0.5762,0.0143,0.0426,0.0,0.0207,2.6741
bus_driver_no_susp,bus_driver,False,10000,0.326,0.2755,0.6094,0.7245,,,,,2.5735
bus_driver_with_susp,bus_driver,True,10000,0.9611,0.5971,0.9929,0.4029,0.102,0.0775,0.0,0.0,2.5179
false_claimer_no_susp,false_claimer,False,10000,0.326,0.2755,0.6094,0.7245,,,,,2.5735
false_claimer_with_susp,false_claimer,True,10000,0.0067,0.256,0.6722,0.744,-0.0135,0.0276,0.0,0.0367,2.5062
