game_id,n_rows,a1,a2,a3,a4,a5,w1,w2,avg_loss_sigma,avg_loss_combined
0,32,0.299879,0.14994,0.199919,0.199919,0.150342,0.599702,0.400298,0.121804,0.128671
1,38,0.299879,0.14994,0.199919,0.199919,0.150342,0.599357,0.400643,0.122697,0.131305
2,26,0.300491,0.149478,0.200484,0.199511,0.150035,0.598594,0.401406,0.094126,0.117913
3,32,0.30081,0.149316,0.200536,0.199393,0.149946,0.598294,0.401706,0.093619,0.098194
4,26,0.30081,0.149316,0.200536,0.199393,0.149946,0.597793,0.402207,0.126058,0.141435
5,38,0.300661,0.149243,0.200437,0.199294,0.150365,0.597314,0.402686,0.12878,0.145291
6,24,0.300512,0.149168,0.200337,0.199195,0.150787,0.596702,0.403298,0.129517,0.152426
7,32,0.301113,0.148968,0.200408,0.198927,0.150584,0.596381,0.403619,0.086658,0.091036
8,36,0.301282,0.148744,0.200399,0.198768,0.150807,0.595943,0.404057,0.112323,0.123766
9,26,0.301663,0.148618,0.200439,0.1986,0.15068,0.59557,0.40443,0.104147,0.109331
10,26,0.302044,0.148492,0.200479,0.198432,0.150552,0.59494,0.40506,0.113759,0.134152
11,36,0.302044,0.148492,0.200479,0.198432,0.150552,0.594542,0.405458,0.124722,0.136201
12,26,0.302355,0.148333,0.200473,0.198219,0.15062,0.593819,0.406181,0.109732,0.135489
13,30,0.302385,0.148593,0.200482,0.198049,0.15049,0.593468,0.406532,0.115073,0.12418
14,30,0.302847,0.148418,0.200608,0.197815,0.150313,0.592977,0.407023,0.098598,0.113355
15,24,0.302847,0.148418,0.200608,0.197815,0.150313,0.592738,0.407262,0.121563,0.122225
16,24,0.302772,0.148381,0.200558,0.197766,0.150524,0.592311,0.407689,0.121373,0.133517
17,26,0.302702,0.148347,0.200512,0.19772,0.150718,0.591887,0.408113,0.125883,0.137063
18,24,0.302552,0.148273,0.200413,0.197622,0.15114,0.591385,0.408615,0.121184,0.137815
19,38,0.302877,0.14803,0.200363,0.197432,0.151298,0.590617,0.409383,0.110627,0.14019
20,30,0.303366,0.147888,0.200352,0.197242,0.151153,0.590029,0.409971,0.09871,0.119314
21,38,0.303283,0.147848,0.200297,0.197189,0.151383,0.589535,0.410465,0.119411,0.13592
22,24,0.303349,0.147774,0.20048,0.19709,0.151307,0.589122,0.410878,0.117585,0.128384
23,24,0.303349,0.147774,0.20048,0.19709,0.151307,0.588793,0.411207,0.121563,0.127741
24,24,0.303349,0.147774,0.20048,0.19709,0.151307,0.588246,0.411754,0.129896,0.149083
25,26,0.303349,0.147774,0.20048,0.19709,0.151307,0.587731,0.412269,0.126058,0.142312
26,26,0.303349,0.147774,0.20048,0.19709,0.151307,0.58737,0.41263,0.120288,0.128015
