condition,detector_zeroed,n_games,village_win_rate,wolf_vote_precision,wolf_vote_recall,false_accusation_rate,sigma_gap,combined_gap,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,avg_days
all_detectors,none,10000,0.0,0.0,0.0,1.0,-0.0198,0.0072,0.0,0.0,0.2812,0.0,0.0,2.0
no_a1,a1,10000,0.0,0.0,0.0,1.0,-0.0213,0.0067,0.0,0.0,0.2812,0.0,0.0,2.0
no_a2,a2,10000,0.0,0.0,0.0,1.0,-0.0204,0.007,0.0,0.0,0.2812,0.0,0.0,2.0
no_a3,a3,10000,0.0,0.0,0.0,1.0,-0.0111,0.0107,0.0,0.0,0.2812,0.0,0.0,2.0
no_a4,a4,10000,0.0,0.0,0.0,1.0,-0.0206,0.0069,0.0,0.0,0.2812,0.0,0.0,2.0
no_a5,a5,10000,0.0,0.0,0.0,1.0,-0.0204,0.007,0.0,0.0,0.2812,0.0,0.0,2.0
