condition,detector_zeroed,n_games,village_win_rate,wolf_vote_precision,wolf_vote_recall,false_accusation_rate,sigma_gap,combined_gap,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,avg_days
all_detectors,none,10000,0.3527,0.4238,0.8711,0.5762,0.0143,0.0426,0.1876,0.0,0.3451,0.0,0.0207,2.6741
no_a1,a1,10000,0.3358,0.4149,0.8667,0.5851,-0.0174,0.0313,0.1747,0.0,0.3545,0.0,0.0207,2.7082
no_a2,a2,10000,0.3527,0.4238,0.8711,0.5762,0.0069,0.0397,0.1876,0.0,0.3451,0.0,0.0207,2.6741
no_a3,a3,10000,0.9317,0.5654,0.9941,0.4346,0.0192,0.0471,0.0706,0.0,0.3651,0.0,0.0178,2.637
no_a4,a4,10000,0.3527,0.4238,0.8711,0.5762,-0.0221,0.0281,0.1876,0.0,0.3451,0.0,0.0207,2.6741
no_a5,a5,10000,0.3527,0.4238,0.8711,0.5762,0.0062,0.0394,0.1876,0.0,0.3451,0.0,0.0207,2.6741
