game_id,n_players,winner,n_days,suspicion_agent_id,suspicion_agent_role,suspicion_agent_survived,suspicion_agent_won,correct_wolf_votes,total_votes,false_accusations
0,5,VILLAGE,2,,,,,3,8,5
1,5,WOLF,2,,,,,1,8,7
