condition,n_games,village_win_rate,wolf_vote_precision,wolf_vote_recall,false_accusation_rate,sigma_gap,combined_gap,avg_days
fixed_weights,2000,0.3565,0.4272,0.8758,0.5728,0.0141,0.0414,2.668
online_learner,2000,0.4215,0.4358,0.8838,0.5642,0.0083,0.0373,2.668
