condition,n_games,village_win_rate,wolf_vote_precision,wolf_vote_recall,false_accusation_rate,sigma_gap,combined_gap,avg_days
fixed_weights,2000,0.35,0.4241,0.8732,0.5759,0.0137,0.0422,2.6725
online_learner,2000,0.414,0.4329,0.8815,0.5671,0.0083,0.0382,2.6725
