condition,detector_zeroed,n_games,village_win_rate,wolf_vote_precision,wolf_vote_recall,false_accusation_rate,sigma_gap,combined_gap,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,avg_days
all_detectors,none,10000,0.3535,0.424,0.8707,0.576,0.0143,0.0428,0.1872,0.0,0.3456,0.0,0.0206,2.673
no_a1,a1,10000,0.3366,0.415,0.8659,0.585,-0.0174,0.0314,0.1743,0.0,0.355,0.0,0.0206,2.7071
no_a2,a2,10000,0.3535,0.424,0.8707,0.576,0.007,0.0399,0.1872,0.0,0.3456,0.0,0.0206,2.673
no_a3,a3,10000,0.9317,0.5652,0.9942,0.4348,0.0191,0.0473,0.0707,0.0,0.3657,0.0,0.0177,2.6373
no_a4,a4,10000,0.3535,0.424,0.8707,0.576,-0.0219,0.0283,0.1872,0.0,0.3456,0.0,0.0206,2.673
no_a5,a5,10000,0.3535,0.424,0.8707,0.576,0.0064,0.0397,0.1872,0.0,0.3456,0.0,0.0206,2.673
