game_id,n_rows,a1,a2,a3,a4,a5,w1,w2,avg_loss_sigma,avg_loss_combined
64,24,0.311534,0.152496,0.175242,0.203328,0.157401,0.594847,0.405153,0.110561,0.117277
65,24,0.311637,0.152546,0.174971,0.203394,0.157452,0.594834,0.405166,0.123013,0.120618
66,24,0.311398,0.152429,0.175602,0.203239,0.157332,0.594684,0.405316,0.122455,0.128181
67,30,0.310991,0.152419,0.175631,0.203225,0.157734,0.594659,0.405341,0.129838,0.128433
68,30,0.311267,0.152411,0.175381,0.203215,0.157726,0.594604,0.405396,0.111831,0.106888
69,30,0.31131,0.152432,0.174853,0.203243,0.158161,0.59456,0.40544,0.121136,0.121113
70,24,0.311371,0.152511,0.174278,0.203348,0.158491,0.594584,0.405416,0.123847,0.11595
71,30,0.311672,0.152574,0.173767,0.203431,0.158556,0.594427,0.405573,0.119201,0.120905
72,24,0.312041,0.152754,0.172788,0.203673,0.158744,0.594414,0.405586,0.127784,0.125409
73,24,0.312143,0.152804,0.172517,0.203739,0.158796,0.594401,0.405599,0.123011,0.120619
74,24,0.312253,0.152858,0.172227,0.203811,0.158852,0.59432,0.40568,0.129326,0.130985
75,24,0.312548,0.152998,0.171459,0.203998,0.158997,0.594322,0.405678,0.124404,0.121282
76,30,0.312185,0.152978,0.171477,0.203971,0.159389,0.594362,0.405638,0.128658,0.120834
77,24,0.312487,0.152889,0.171477,0.203852,0.159296,0.594137,0.405863,0.115749,0.124379
78,30,0.312911,0.152854,0.17117,0.203805,0.15926,0.593995,0.406005,0.112047,0.116503
79,30,0.313596,0.153079,0.169725,0.204106,0.159494,0.593932,0.406068,0.109718,0.103696
80,30,0.313499,0.153221,0.169345,0.204294,0.159642,0.593952,0.406048,0.127791,0.123507
81,30,0.313563,0.153252,0.169173,0.204336,0.159675,0.593794,0.406206,0.11818,0.121629
82,24,0.313672,0.153403,0.168557,0.204537,0.159832,0.593776,0.406224,0.135531,0.133514
83,24,0.313665,0.153497,0.167996,0.204663,0.160179,0.593738,0.406262,0.125162,0.124421
84,24,0.314468,0.153551,0.166763,0.204735,0.160483,0.593646,0.406354,0.115881,0.116739
85,24,0.315255,0.153597,0.165821,0.204796,0.160531,0.593526,0.406474,0.113125,0.115538
86,24,0.31525,0.153691,0.165259,0.204922,0.160878,0.593488,0.406512,0.125145,0.124421
87,30,0.315388,0.153545,0.165615,0.204727,0.160725,0.593244,0.406756,0.11978,0.129915
88,24,0.315645,0.153671,0.164685,0.204894,0.161105,0.593202,0.406798,0.133093,0.132597
89,30,0.316181,0.153671,0.163736,0.204895,0.161518,0.593131,0.406869,0.120947,0.121026
90,24,0.316428,0.153791,0.163083,0.205055,0.161644,0.59309,0.40691,0.124876,0.124292
91,30,0.316968,0.153813,0.162468,0.205084,0.161667,0.593138,0.406862,0.116499,0.105957
92,24,0.317041,0.153848,0.162275,0.205131,0.161704,0.593036,0.406964,0.127067,0.130142
93,24,0.317116,0.153981,0.16175,0.205309,0.161844,0.592995,0.407005,0.133235,0.132652
94,24,0.31719,0.154115,0.161225,0.205486,0.161984,0.592954,0.407046,0.133235,0.132652
95,24,0.317222,0.154227,0.160563,0.205636,0.162351,0.592937,0.407063,0.127367,0.125247
96,30,0.317559,0.154391,0.159672,0.205855,0.162523,0.592946,0.407054,0.123242,0.116828
97,30,0.318288,0.154457,0.158719,0.205943,0.162593,0.592781,0.407219,0.107925,0.107813
98,30,0.318665,0.15464,0.157507,0.206187,0.163001,0.592827,0.407173,0.118376,0.110029
99,24,0.318583,0.154697,0.156901,0.206262,0.163558,0.592782,0.407218,0.132808,0.132483
100,24,0.318579,0.154792,0.156333,0.206389,0.163907,0.592739,0.407261,0.133013,0.132568
101,30,0.319311,0.154726,0.155826,0.206301,0.163837,0.592442,0.407558,0.0981,0.108768
102,24,0.319533,0.154829,0.155005,0.206439,0.164195,0.592441,0.407559,0.124092,0.121172
103,30,0.319835,0.154763,0.154516,0.20635,0.164537,0.592292,0.407708,0.12902,0.134084
104,30,0.320171,0.154862,0.153628,0.206482,0.164857,0.592225,0.407775,0.119686,0.119433
105,30,0.320773,0.154997,0.152567,0.206662,0.165001,0.592211,0.407789,0.121029,0.115715
106,24,0.320955,0.155133,0.151923,0.206844,0.165146,0.592257,0.407743,0.126135,0.116716
107,30,0.322121,0.155099,0.150872,0.206798,0.16511,0.591989,0.408011,0.102551,0.111864
108,30,0.322582,0.155105,0.149978,0.206806,0.165529,0.591898,0.408102,0.117067,0.118596
109,24,0.322577,0.155102,0.149743,0.206803,0.165774,0.591823,0.408177,0.129704,0.131258
110,30,0.323334,0.155126,0.148905,0.206835,0.1658,0.591611,0.408389,0.10737,0.114794
111,30,0.323832,0.155108,0.148469,0.206811,0.16578,0.591445,0.408555,0.10937,0.11564
112,24,0.324751,0.155214,0.147188,0.206953,0.165894,0.59131,0.40869,0.111415,0.115048
113,30,0.324952,0.155309,0.146665,0.207079,0.165995,0.591292,0.408708,0.125516,0.123807
114,24,0.324871,0.155366,0.146056,0.207155,0.166553,0.591247,0.408753,0.132789,0.132466
115,30,0.324881,0.155409,0.145683,0.207212,0.166814,0.591115,0.408885,0.120148,0.123118
116,24,0.324962,0.155543,0.145145,0.207391,0.166958,0.591074,0.408926,0.133194,0.132636
117,24,0.324945,0.155535,0.14519,0.20738,0.16695,0.591,0.409,0.121517,0.122974
118,30,0.325233,0.155673,0.144432,0.207564,0.167098,0.590984,0.409016,0.120151,0.116247
119,24,0.325486,0.155715,0.144036,0.20762,0.167143,0.590794,0.409206,0.120381,0.124518
120,30,0.325205,0.155619,0.144429,0.207492,0.167255,0.590744,0.409256,0.125854,0.1239
121,30,0.32522,0.155611,0.144028,0.207482,0.167659,0.590733,0.409267,0.125956,0.124297
122,24,0.325049,0.155625,0.144152,0.2075,0.167674,0.590684,0.409316,0.1324,0.132298
123,30,0.325128,0.155648,0.14378,0.20753,0.167914,0.590676,0.409324,0.126304,0.124435
124,30,0.326164,0.155619,0.142842,0.207492,0.167883,0.590313,0.409687,0.090899,0.106397
125,30,0.326508,0.155483,0.142964,0.20731,0.167735,0.590051,0.409949,0.117408,0.124804
126,24,0.326815,0.155625,0.142171,0.2075,0.167889,0.590035,0.409965,0.116027,0.110559
127,30,0.327304,0.155794,0.141105,0.207726,0.168072,0.589954,0.410046,0.118129,0.11883
128,24,0.327372,0.155874,0.140514,0.207833,0.168406,0.589911,0.410089,0.131598,0.127797
129,30,0.328042,0.155694,0.140461,0.207592,0.168211,0.589587,0.410413,0.106272,0.119498
130,30,0.328416,0.155778,0.139799,0.207705,0.168303,0.5896,0.4104,0.122588,0.113806
131,30,0.328795,0.155819,0.139279,0.207759,0.168347,0.589534,0.410466,0.11571,0.11356
132,30,0.329057,0.155517,0.140051,0.207355,0.16802,0.58923,0.41077,0.113712,0.127408
133,24,0.329079,0.155621,0.139424,0.207495,0.168381,0.589189,0.410811,0.124826,0.124274
134,30,0.329164,0.155595,0.139015,0.20746,0.168766,0.589088,0.410912,0.122767,0.124706
135,30,0.329669,0.155634,0.137966,0.207512,0.16922,0.588977,0.411023,0.116541,0.119689
136,30,0.330654,0.155741,0.136612,0.207655,0.169337,0.588728,0.411272,0.098965,0.104527
137,30,0.330495,0.155849,0.136404,0.207799,0.169454,0.58866,0.41134,0.126841,0.125344
138,24,0.330903,0.156042,0.135336,0.208055,0.169663,0.588598,0.411402,0.122614,0.123425
139,24,0.33112,0.15614,0.134783,0.208186,0.16977,0.58858,0.41142,0.115761,0.110447
140,24,0.331806,0.156147,0.134074,0.208195,0.169778,0.588418,0.411582,0.102549,0.103313
141,30,0.331592,0.156084,0.134503,0.208112,0.169709,0.588371,0.411629,0.126055,0.123981
142,24,0.331392,0.155989,0.135026,0.207986,0.169607,0.588195,0.411805,0.121154,0.125577
143,30,0.331974,0.156111,0.134027,0.208148,0.169739,0.588146,0.411854,0.116977,0.114579
144,30,0.332288,0.156007,0.134071,0.208009,0.169626,0.587972,0.412028,0.108551,0.115256
145,30,0.332871,0.156129,0.133071,0.208171,0.169758,0.587923,0.412077,0.116972,0.114575
146,30,0.333012,0.156195,0.132704,0.20826,0.16983,0.587871,0.412129,0.120143,0.120876
147,30,0.333019,0.156198,0.132686,0.208264,0.169833,0.587734,0.412266,0.11952,0.122812
148,30,0.333018,0.156198,0.132276,0.208263,0.170245,0.587598,0.412402,0.119587,0.122862
149,24,0.333125,0.156341,0.131677,0.208455,0.170402,0.587559,0.412441,0.124998,0.124341
150,24,0.333438,0.156484,0.130875,0.208646,0.170558,0.587559,0.412441,0.124124,0.121201
151,30,0.333434,0.156482,0.130885,0.208643,0.170556,0.587633,0.412367,0.112828,0.101289
152,30,0.334054,0.156498,0.130212,0.208663,0.170572,0.587408,0.412592,0.105815,0.114209
153,24,0.334162,0.156642,0.129612,0.208855,0.170729,0.587369,0.412631,0.124994,0.124341
154,24,0.334155,0.156638,0.129381,0.208851,0.170974,0.587294,0.412706,0.129692,0.131235
155,30,0.334749,0.156707,0.128355,0.208942,0.171247,0.587138,0.412862,0.104889,0.106409
156,24,0.334547,0.156612,0.128882,0.208816,0.171144,0.58706,0.41294,0.12937,0.131109
157,24,0.334571,0.156717,0.128249,0.208956,0.171507,0.587016,0.412984,0.132772,0.132437
158,30,0.334497,0.156682,0.128442,0.20891,0.171469,0.586957,0.413043,0.119366,0.120543
159,30,0.335096,0.156697,0.127794,0.208929,0.171485,0.58684,0.41316,0.11589,0.119317
160,30,0.335736,0.156859,0.126596,0.209146,0.171663,0.586793,0.413207,0.117115,0.114635
161,30,0.336161,0.156912,0.125791,0.209216,0.171919,0.586609,0.413391,0.10814,0.114141
162,30,0.336086,0.156877,0.125985,0.20917,0.171881,0.58669,0.41331,0.119367,0.107307
163,30,0.336094,0.156919,0.125836,0.209225,0.171926,0.586638,0.413362,0.120081,0.120853
164,30,0.336482,0.15681,0.12582,0.20908,0.171807,0.586494,0.413506,0.10901,0.109186
165,30,0.336938,0.156791,0.12543,0.209054,0.171786,0.586384,0.413616,0.125686,0.125125
166,30,0.337434,0.156854,0.124718,0.209139,0.171856,0.586186,0.413814,0.113613,0.119944
167,24,0.337806,0.15681,0.124498,0.209079,0.171807,0.585895,0.414105,0.111258,0.119077
168,24,0.338039,0.156914,0.123659,0.209218,0.172169,0.585893,0.414107,0.123866,0.121103
169,30,0.338516,0.156907,0.123205,0.20921,0.172162,0.585581,0.414419,0.104121,0.113415
170,24,0.338986,0.156903,0.122503,0.209203,0.172405,0.585404,0.414596,0.120203,0.126253
171,24,0.339145,0.156976,0.121842,0.209302,0.172735,0.585336,0.414664,0.121976,0.123151
172,30,0.33918,0.157011,0.121688,0.209348,0.172773,0.585424,0.414576,0.120004,0.107555
173,30,0.339189,0.157052,0.121539,0.209403,0.172818,0.585372,0.414628,0.120072,0.120848
174,24,0.339347,0.157172,0.12097,0.209562,0.172949,0.585333,0.414667,0.131747,0.127829
175,30,0.3395,0.157228,0.120624,0.209637,0.173011,0.585327,0.414673,0.126424,0.124501
176,24,0.339845,0.157387,0.119482,0.20985,0.173436,0.585331,0.414669,0.124416,0.121392
177,30,0.339769,0.157352,0.119679,0.209803,0.173397,0.585272,0.414728,0.119373,0.120541
178,30,0.339686,0.157314,0.119894,0.209752,0.173354,0.585346,0.414654,0.112685,0.101248
179,24,0.339851,0.15739,0.119466,0.209854,0.173439,0.585332,0.414668,0.11575,0.110762
