condition,wolf_strategy,suspicion_active,n_games,village_win_rate,wolf_vote_precision,wolf_vote_recall,false_accusation_rate,sigma_gap,combined_gap,mean_d4,mean_d5,avg_days
standard_no_susp,standard,False,10000,0.3263,0.2754,0.6097,0.7246,,,,,2.5747
standard_with_susp,standard,True,10000,0.0,0.0,0.0,1.0,-0.029,0.0036,0.0,0.0,2.0
bus_driver_no_susp,bus_driver,False,10000,0.3263,0.2754,0.6097,0.7246,,,,,2.5747
bus_driver_with_susp,bus_driver,True,10000,0.7546,0.3444,0.8719,0.6556,0.0666,0.042,0.0,0.0,2.982
false_claimer_no_susp,false_claimer,False,10000,0.3263,0.2754,0.6097,0.7246,,,,,2.5747
false_claimer_with_susp,false_claimer,True,10000,0.0,0.0,0.0,1.0,-0.0323,0.0023,0.0,0.0418,2.0
