condition,n_games,village_win_rate,wolf_vote_precision,wolf_vote_recall,false_accusation_rate,sigma_gap,combined_gap,avg_days
fixed_weights,2000,0.0,0.0,0.0,1.0,-0.0286,0.004,2.0
online_learner,2000,0.0,0.0,0.0,1.0,-0.0123,0.0088,2.0
