game_id,n_rows,a1,a2,a3,a4,a5,w1,w2,avg_loss_sigma,avg_loss_combined
0,30,0.300192,0.150069,0.199577,0.200092,0.150069,0.599979,0.400021,0.119922,0.116073
1,30,0.299959,0.150145,0.199144,0.200194,0.150558,0.600043,0.399957,0.120382,0.110808
2,24,0.300299,0.150298,0.198295,0.200397,0.150711,0.600072,0.399928,0.127248,0.122379
3,24,0.300625,0.150461,0.197177,0.200614,0.151123,0.600106,0.399894,0.127698,0.122588
4,30,0.300423,0.150444,0.197236,0.200592,0.151305,0.600019,0.399981,0.133994,0.133354
5,30,0.300799,0.150632,0.195818,0.200843,0.151908,0.600064,0.399936,0.127075,0.118355
6,24,0.300847,0.150494,0.196231,0.200659,0.151769,0.599837,0.400163,0.115571,0.124545
7,24,0.300881,0.150511,0.195893,0.200681,0.152034,0.599759,0.400241,0.121332,0.122804
8,30,0.300868,0.150423,0.1962,0.200564,0.151945,0.599626,0.400374,0.119542,0.123799
9,24,0.30176,0.150297,0.195727,0.200397,0.151818,0.599297,0.400703,0.10632,0.119689
10,30,0.30225,0.15032,0.195161,0.200427,0.151842,0.599196,0.400804,0.116237,0.118297
11,30,0.302243,0.150317,0.195179,0.200423,0.151838,0.599118,0.400882,0.117938,0.119737
12,30,0.302621,0.15024,0.195057,0.200321,0.151761,0.598984,0.401016,0.118109,0.120339
13,24,0.302598,0.150328,0.194787,0.200438,0.151849,0.598839,0.401161,0.124919,0.126918
14,24,0.302697,0.150477,0.194191,0.200636,0.152,0.598821,0.401179,0.135686,0.133558
15,24,0.302885,0.15057,0.193691,0.20076,0.152094,0.598792,0.401208,0.115477,0.10985
16,30,0.303237,0.15064,0.193106,0.200853,0.152164,0.598629,0.401371,0.128875,0.132685
17,30,0.303486,0.150764,0.192441,0.201019,0.15229,0.598494,0.401506,0.131702,0.133825
18,30,0.30375,0.150895,0.191739,0.201194,0.152422,0.598524,0.401476,0.11715,0.10925
19,24,0.303859,0.150949,0.191449,0.201266,0.152477,0.598339,0.401661,0.121212,0.124981
20,24,0.303961,0.151,0.191178,0.201333,0.152528,0.598308,0.401692,0.115189,0.109715
21,24,0.30407,0.151054,0.190889,0.201405,0.152583,0.598232,0.401768,0.121511,0.122866
22,24,0.304134,0.151185,0.190387,0.20158,0.152715,0.598191,0.401809,0.133317,0.132694
23,24,0.304422,0.151324,0.189634,0.201765,0.152855,0.598193,0.401807,0.124512,0.121331
24,30,0.304971,0.151332,0.189058,0.201776,0.152863,0.598086,0.401914,0.117793,0.119407
25,30,0.305281,0.15147,0.188069,0.201961,0.153219,0.598111,0.401889,0.124938,0.117593
26,30,0.306087,0.151547,0.186809,0.202062,0.153495,0.598034,0.401966,0.114579,0.109737
27,30,0.306816,0.151554,0.186057,0.202072,0.153502,0.597861,0.402139,0.101486,0.101153
28,30,0.306886,0.151589,0.185869,0.202118,0.153537,0.597892,0.402108,0.109077,0.099491
29,30,0.307061,0.151675,0.185191,0.202233,0.15384,0.597769,0.402231,0.121767,0.123196
30,24,0.307624,0.151714,0.184496,0.202285,0.15388,0.597612,0.402388,0.114324,0.118878
31,24,0.30836,0.151852,0.183299,0.202469,0.15402,0.597493,0.402507,0.118156,0.120358
32,24,0.308652,0.151992,0.18254,0.202655,0.154161,0.597477,0.402523,0.116326,0.110668
33,24,0.308867,0.152093,0.181735,0.202791,0.154513,0.597477,0.402523,0.124274,0.121233
34,30,0.309628,0.152181,0.180681,0.202908,0.154602,0.597332,0.402668,0.114452,0.117476
35,30,0.309531,0.152228,0.180205,0.202971,0.155063,0.597446,0.402554,0.123504,0.108492
