condition,n_games,village_win_rate,wolf_vote_precision,wolf_vote_recall,false_accusation_rate,sigma_gap,combined_gap,avg_days
fixed_weights,2000,0.3495,0.4249,0.872,0.5751,0.0135,0.0425,2.6725
online_learner,2000,0.4145,0.4338,0.8805,0.5662,0.0079,0.0384,2.6725
