game_id,n_rows,a1,a2,a3,a4,a5,w1,w2,avg_loss_sigma,avg_loss_combined
0,24,0.300677,0.149094,0.198888,0.200766,0.150574,0.599056,0.400944,0.150621,0.17686
1,26,0.30093,0.148882,0.197755,0.20139,0.151042,0.597515,0.402485,0.145941,0.204843
2,24,0.302228,0.146991,0.19761,0.201812,0.151359,0.597682,0.402318,0.125941,0.068531
3,36,0.303268,0.145243,0.197119,0.2023,0.15207,0.597132,0.402868,0.139899,0.135921
4,24,0.30434,0.143848,0.195889,0.203186,0.152736,0.595941,0.404059,0.151843,0.190255
5,30,0.305111,0.142467,0.195598,0.203701,0.153123,0.59576,0.40424,0.138982,0.114375
6,32,0.3051,0.141704,0.195154,0.203966,0.154076,0.594933,0.405067,0.146006,0.164137
7,30,0.306418,0.139773,0.194555,0.204657,0.154598,0.594099,0.405901,0.145903,0.160451
8,32,0.306882,0.139095,0.194299,0.204809,0.154915,0.593183,0.406817,0.131442,0.156067
9,32,0.308918,0.137019,0.192667,0.205761,0.155635,0.593062,0.406938,0.137541,0.101734
10,24,0.310447,0.135553,0.191622,0.206321,0.156058,0.592189,0.407811,0.134134,0.142557
11,26,0.310397,0.135035,0.191995,0.206432,0.156142,0.591437,0.408563,0.121327,0.131903
12,30,0.311482,0.133306,0.190792,0.207247,0.157173,0.591074,0.408926,0.151048,0.13841
13,28,0.312552,0.132337,0.190129,0.207567,0.157415,0.589761,0.410239,0.122314,0.161263
14,32,0.314293,0.13075,0.18944,0.207871,0.157646,0.588803,0.411197,0.115661,0.134433
15,24,0.315528,0.129102,0.18884,0.208447,0.158083,0.588344,0.411656,0.137217,0.133065
16,32,0.316319,0.127862,0.188193,0.20907,0.158556,0.587827,0.412173,0.143125,0.142012
17,32,0.316392,0.127623,0.187864,0.209352,0.158769,0.586752,0.413248,0.139665,0.175325
18,26,0.317058,0.126343,0.18745,0.209937,0.159213,0.585792,0.414208,0.141842,0.171052
19,36,0.318545,0.124684,0.18631,0.210592,0.15987,0.585184,0.414816,0.134955,0.130762
20,26,0.319282,0.123672,0.185911,0.210974,0.160161,0.584255,0.415745,0.125829,0.145876
21,24,0.319507,0.122905,0.185499,0.211517,0.160573,0.58317,0.41683,0.137484,0.167821
22,24,0.320349,0.122226,0.184997,0.211709,0.160719,0.581474,0.418526,0.123516,0.18332
23,26,0.32108,0.12109,0.184068,0.212337,0.161425,0.580387,0.419613,0.141254,0.174569
24,30,0.321899,0.11984,0.183884,0.212687,0.161691,0.580016,0.419984,0.121414,0.112108
25,30,0.322428,0.119286,0.183449,0.212947,0.161889,0.579276,0.420724,0.127881,0.1353
26,36,0.322902,0.118269,0.183259,0.213364,0.162206,0.578838,0.421162,0.127562,0.123075
27,32,0.324183,0.116791,0.181625,0.214405,0.162997,0.578296,0.421704,0.150267,0.145382
28,24,0.32549,0.114965,0.180795,0.215029,0.163721,0.578059,0.421941,0.142731,0.128113
29,24,0.326775,0.112978,0.180425,0.215638,0.164184,0.578456,0.421544,0.13017,0.070227
30,26,0.328435,0.111013,0.179729,0.216206,0.164617,0.57783,0.42217,0.124103,0.124122
31,36,0.329296,0.109505,0.179655,0.216524,0.165019,0.577021,0.422979,0.119911,0.127748
32,26,0.330597,0.107312,0.179005,0.21727,0.165817,0.576796,0.423204,0.136876,0.120975
33,24,0.332049,0.105845,0.178104,0.217789,0.166214,0.575697,0.424303,0.130522,0.160164
34,24,0.332723,0.104577,0.17737,0.218542,0.166788,0.574682,0.425318,0.145429,0.177192
