condition,w1,w2,n_games,village_win_rate,wolf_vote_precision,wolf_vote_recall,false_accusation_rate,sigma_gap,combined_gap,avg_days
w1_1.0_w2_0.0,1.0,0.0,10000,0.0,0.0,0.0,1.0,-0.0198,0.0254,2.0
w1_0.8_w2_0.2,0.8,0.2,10000,0.0,0.0,0.0,1.0,-0.0198,0.0164,2.0
w1_0.6_w2_0.4,0.6,0.4,10000,0.0,0.0,0.0,1.0,-0.0198,0.0073,2.0
w1_0.4_w2_0.6,0.4,0.6,10000,0.0,0.0,0.0,1.0,-0.0198,-0.0017,2.0
w1_0.2_w2_0.8,0.2,0.8,10000,0.0,0.0,0.0,1.0,-0.0198,-0.0107,2.0
w1_0.0_w2_1.0,0.0,1.0,10000,0.0,0.0,0.0,1.0,-0.0198,-0.0198,2.0
