game_id,a1,a2,a3,a4,a5
0,0.299878,0.150111,0.19975,0.200149,0.150111
1,0.299448,0.15027,0.199444,0.20036,0.150479
2,0.299497,0.150398,0.198969,0.20053,0.150606
3,0.299683,0.150529,0.198344,0.200705,0.150738
4,0.299299,0.150642,0.19795,0.200856,0.151251
5,0.299123,0.150727,0.197444,0.20097,0.151736
6,0.299367,0.150567,0.197735,0.200756,0.151575
7,0.299326,0.150604,0.197651,0.200806,0.151613
8,0.299349,0.150616,0.19759,0.200821,0.151624
9,0.299917,0.150588,0.197115,0.200784,0.151596
10,0.300375,0.150606,0.196596,0.200808,0.151615
11,0.30034,0.150589,0.196688,0.200785,0.151597
12,0.300781,0.150512,0.196504,0.200683,0.15152
13,0.300334,0.150627,0.196357,0.200836,0.151844
14,0.300192,0.150556,0.196738,0.200741,0.151773
15,0.300339,0.15063,0.196344,0.20084,0.151847
16,0.300825,0.15061,0.195924,0.200814,0.151827
17,0.300248,0.150801,0.195654,0.201068,0.152228
18,0.300395,0.150875,0.19526,0.201166,0.152303
19,0.300543,0.150949,0.194866,0.201265,0.152377
20,0.300605,0.15098,0.1947,0.201306,0.152409
21,0.30056,0.151046,0.194125,0.201394,0.152875
22,0.300526,0.151172,0.193489,0.201562,0.153251
23,0.30049,0.151298,0.192853,0.201731,0.153628
24,0.300676,0.151108,0.193305,0.201477,0.153435
25,0.300823,0.15124,0.192714,0.201654,0.153569
26,0.301005,0.151262,0.192059,0.201683,0.153991
27,0.301652,0.151405,0.190933,0.201873,0.154136
28,0.301746,0.151452,0.190681,0.201936,0.154184
29,0.301179,0.1516,0.190351,0.202134,0.154735
30,0.301329,0.151599,0.190205,0.202133,0.154734
31,0.301387,0.151575,0.190229,0.2021,0.154709
32,0.301303,0.151682,0.189746,0.202242,0.155027
33,0.301373,0.151786,0.189079,0.202381,0.155381
34,0.301509,0.151859,0.188489,0.202478,0.155665
35,0.30158,0.151963,0.187821,0.202617,0.15602
36,0.301414,0.151879,0.188266,0.202506,0.155935
37,0.30182,0.151871,0.187488,0.202495,0.156325
38,0.30212,0.151954,0.186909,0.202606,0.156411
39,0.302268,0.152087,0.186314,0.202783,0.156548
40,0.302923,0.152152,0.185441,0.20287,0.156615
41,0.303239,0.152234,0.184849,0.202979,0.156699
42,0.30317,0.1522,0.185034,0.202933,0.156663
43,0.303422,0.152242,0.184639,0.202989,0.156707
44,0.303403,0.152381,0.184191,0.203175,0.15685
45,0.303029,0.152552,0.183781,0.203403,0.157235
46,0.303361,0.152536,0.183504,0.203381,0.157218
47,0.303598,0.152513,0.183344,0.203351,0.157195
48,0.30364,0.152678,0.182746,0.203571,0.157365
49,0.303748,0.152732,0.182456,0.203643,0.157421
50,0.304137,0.152727,0.182084,0.203636,0.157415
51,0.304088,0.152703,0.182216,0.203604,0.15739
52,0.305036,0.152523,0.181871,0.203364,0.157205
53,0.30508,0.152689,0.181271,0.203585,0.157376
54,0.304837,0.152877,0.180878,0.203837,0.15757
55,0.30495,0.1529,0.180289,0.203867,0.157993
56,0.305823,0.15282,0.179686,0.20376,0.157911
57,0.306056,0.152796,0.179535,0.203728,0.157886
58,0.306092,0.152632,0.18005,0.20351,0.157716
59,0.305908,0.152765,0.179539,0.203686,0.158102
60,0.305392,0.152867,0.179502,0.203822,0.158416
61,0.305227,0.152784,0.179947,0.203712,0.15833
62,0.30529,0.15287,0.179592,0.203827,0.15842
63,0.305218,0.152834,0.179786,0.203779,0.158382
64,0.305769,0.152931,0.17891,0.203908,0.158482
65,0.305535,0.152814,0.179537,0.203752,0.158361
66,0.305798,0.152923,0.178907,0.203897,0.158474
67,0.305946,0.152997,0.178511,0.203996,0.158551
68,0.305838,0.153168,0.178043,0.204223,0.158728
69,0.306135,0.153046,0.177756,0.204062,0.159001
70,0.305715,0.153173,0.177538,0.204231,0.159342
71,0.305607,0.153344,0.17707,0.204459,0.15952
72,0.305652,0.15351,0.176465,0.20468,0.159692
73,0.305618,0.153569,0.176093,0.204759,0.159962
74,0.305663,0.153735,0.175487,0.20498,0.160135
75,0.305405,0.153827,0.175435,0.205103,0.16023
76,0.305523,0.1538,0.175407,0.205067,0.160203
77,0.30521,0.153984,0.1751,0.205312,0.160394
78,0.30516,0.153958,0.175236,0.205278,0.160367
79,0.305307,0.154033,0.174839,0.205377,0.160445
80,0.305454,0.154107,0.174441,0.205476,0.160522
81,0.305423,0.154235,0.173791,0.205647,0.160904
82,0.305114,0.154424,0.173463,0.205898,0.161101
83,0.305839,0.154452,0.172643,0.205936,0.16113
84,0.305899,0.154482,0.17248,0.205976,0.161162
85,0.30582,0.154643,0.172019,0.20619,0.161329
86,0.305532,0.1548,0.171528,0.206399,0.161742
87,0.305207,0.154724,0.17171,0.206298,0.162061
88,0.304832,0.154895,0.171504,0.206527,0.162241
89,0.305312,0.154922,0.170534,0.206563,0.162669
90,0.305265,0.154898,0.170662,0.206531,0.162644
