condition,wolf_strategy,suspicion_active,n_games,village_win_rate,wolf_vote_precision,wolf_vote_recall,false_accusation_rate,sigma_gap,combined_gap,mean_d4,mean_d5,avg_days
standard_no_susp,standard,False,10000,0.3262,0.275,0.6095,0.725,,,,,2.5751
standard_with_susp,standard,True,10000,0.3535,0.424,0.8707,0.576,0.0143,0.0428,0.0,0.0206,2.673
bus_driver_no_susp,bus_driver,False,10000,0.3262,0.275,0.6095,0.725,,,,,2.5751
bus_driver_with_susp,bus_driver,True,10000,0.9614,0.5968,0.9929,0.4032,0.102,0.0777,0.0,0.0,2.5189
false_claimer_no_susp,false_claimer,False,10000,0.3262,0.275,0.6095,0.725,,,,,2.5751
false_claimer_with_susp,false_claimer,True,10000,0.0069,0.2557,0.6716,0.7443,-0.0135,0.0278,0.0,0.0367,2.5048
