game_id,a1,a2,a3,a4,a5
0,0.300108,0.150054,0.199711,0.200072,0.150054
1,0.300073,0.15018,0.19908,0.200239,0.150428
2,0.300561,0.15014,0.198722,0.200187,0.150389
3,0.30059,0.150155,0.198645,0.200207,0.150404
4,0.300415,0.150067,0.199112,0.20009,0.150316
5,0.300273,0.149997,0.19949,0.199995,0.150245
6,0.300335,0.150028,0.199324,0.200037,0.150276
7,0.301158,0.149925,0.198842,0.199901,0.150174
8,0.301088,0.149891,0.199028,0.199854,0.150139
9,0.301088,0.149897,0.198798,0.199863,0.150354
10,0.30088,0.149989,0.198301,0.199985,0.150845
11,0.301232,0.150028,0.197419,0.200037,0.151284
12,0.300919,0.150228,0.197064,0.200304,0.151486
13,0.300716,0.150214,0.196912,0.200285,0.151872
14,0.300659,0.150192,0.196645,0.200256,0.152249
15,0.30077,0.150306,0.19615,0.200409,0.152365
16,0.300751,0.150275,0.195876,0.200366,0.152732
17,0.300958,0.150296,0.1952,0.200394,0.153153
18,0.300956,0.150432,0.194744,0.200576,0.153292
19,0.301064,0.150486,0.194454,0.200648,0.153347
20,0.300995,0.150452,0.194639,0.200602,0.153312
21,0.30091,0.150609,0.194198,0.200812,0.153472
22,0.301178,0.150511,0.194258,0.200681,0.153372
23,0.301295,0.150628,0.193749,0.200837,0.153491
24,0.301356,0.150665,0.193564,0.200886,0.153529
25,0.301568,0.150704,0.193221,0.200938,0.153569
26,0.302011,0.150644,0.192979,0.200858,0.153508
27,0.301698,0.150828,0.192673,0.201105,0.153696
28,0.301242,0.150961,0.192683,0.201282,0.153831
29,0.301336,0.151008,0.192431,0.201345,0.15388
30,0.300833,0.151095,0.192244,0.20146,0.154367
31,0.30098,0.151169,0.19185,0.201558,0.154443
32,0.300787,0.15121,0.191504,0.201614,0.154885
33,0.300343,0.151424,0.191232,0.201898,0.155103
34,0.300785,0.151477,0.190612,0.201969,0.155158
35,0.300624,0.151613,0.190316,0.202151,0.155297
36,0.300663,0.151777,0.189724,0.20237,0.155466
37,0.301122,0.151825,0.189106,0.202433,0.155514
38,0.301067,0.151943,0.188765,0.202591,0.155635
39,0.300749,0.152124,0.188473,0.202832,0.155821
40,0.301035,0.152275,0.187681,0.203034,0.155976
41,0.300655,0.152425,0.187349,0.203233,0.156338
42,0.300716,0.152456,0.187184,0.203275,0.156369
43,0.300755,0.152453,0.186945,0.203271,0.156575
44,0.300862,0.152508,0.186656,0.203343,0.156631
45,0.300956,0.15243,0.186424,0.20324,0.15695
46,0.301005,0.152514,0.185884,0.203352,0.157245
47,0.301002,0.152519,0.18566,0.203359,0.157459
48,0.300867,0.15259,0.185349,0.203453,0.157741
49,0.30055,0.152772,0.185054,0.203696,0.157929
50,0.300321,0.152656,0.185674,0.203541,0.157809
51,0.299753,0.152805,0.185339,0.20374,0.158363
52,0.299774,0.15292,0.184682,0.203893,0.158731
53,0.300244,0.152819,0.184554,0.203758,0.158625
54,0.300274,0.152834,0.184472,0.203779,0.158641
55,0.300375,0.152742,0.184682,0.203656,0.158546
56,0.300172,0.152727,0.184534,0.203636,0.15893
57,0.300537,0.152652,0.184425,0.203535,0.158851
58,0.299989,0.1528,0.184073,0.203733,0.159405
59,0.300282,0.152763,0.183903,0.203685,0.159367
60,0.299834,0.152974,0.18364,0.203965,0.159587
61,0.300008,0.152958,0.183522,0.203943,0.15957
62,0.300377,0.152878,0.183421,0.203837,0.159487
63,0.300365,0.152928,0.182865,0.203904,0.159938
64,0.300606,0.152907,0.182696,0.203876,0.159916
65,0.30042,0.152812,0.1832,0.20375,0.159817
66,0.30038,0.152792,0.18331,0.203722,0.159796
67,0.299815,0.152946,0.182954,0.203928,0.160357
68,0.300148,0.152929,0.182677,0.203906,0.16034
69,0.299571,0.153075,0.182554,0.2041,0.1607
70,0.299215,0.153265,0.182266,0.204354,0.160901
71,0.299585,0.153185,0.182167,0.204247,0.160817
72,0.299525,0.153161,0.181909,0.204215,0.161191
73,0.299585,0.153192,0.181744,0.204256,0.161223
74,0.299597,0.153287,0.1812,0.204383,0.161532
75,0.299783,0.153421,0.180562,0.204561,0.161673
76,0.299945,0.153526,0.180044,0.204702,0.161784
77,0.29974,0.153669,0.179765,0.204892,0.161934
78,0.300073,0.153652,0.17949,0.204869,0.161916
79,0.300515,0.153768,0.178656,0.205023,0.162038
80,0.300496,0.153913,0.178183,0.205217,0.162191
81,0.300352,0.153839,0.178578,0.205118,0.162113
82,0.300463,0.153955,0.178072,0.205274,0.162236
