condition,wolf_strategy,suspicion_active,n_games,village_win_rate,wolf_vote_precision,wolf_vote_recall,false_accusation_rate,sigma_gap,combined_gap,mean_d4,mean_d5,avg_days
standard_no_susp,standard,False,10000,0.3263,0.2754,0.6097,0.7246,,,,,2.5747
standard_with_susp,standard,True,10000,0.3533,0.4238,0.871,0.5762,0.0143,0.0427,0.0,0.0206,2.6738
bus_driver_no_susp,bus_driver,False,10000,0.3263,0.2754,0.6097,0.7246,,,,,2.5747
bus_driver_with_susp,bus_driver,True,10000,0.9613,0.5966,0.9929,0.4034,0.1021,0.0776,0.0,0.0,2.5193
false_claimer_no_susp,false_claimer,False,10000,0.3263,0.2754,0.6097,0.7246,,,,,2.5747
false_claimer_with_susp,false_claimer,True,10000,0.0068,0.2556,0.6714,0.7444,-0.0135,0.0277,0.0,0.0367,2.5046
