game_id,a1,a2,a3,a4,a5
0,0.300196,0.150098,0.199476,0.200131,0.150098
1,0.300429,0.150214,0.198856,0.200286,0.150214
2,0.300546,0.150273,0.198544,0.200364,0.150273
3,0.300605,0.150303,0.198386,0.200403,0.150303
4,0.300838,0.150419,0.197765,0.200559,0.150419
5,0.301035,0.150517,0.197241,0.20069,0.150517
6,0.301268,0.150634,0.196619,0.200845,0.150634
7,0.301385,0.150692,0.196307,0.200923,0.150692
8,0.301582,0.150791,0.195782,0.201055,0.150791
9,0.301641,0.15082,0.195624,0.201094,0.15082
10,0.3017,0.15085,0.195466,0.201133,0.15085
11,0.301933,0.150967,0.194844,0.201289,0.150967
12,0.302109,0.151054,0.194376,0.201406,0.151054
13,0.302306,0.151153,0.19385,0.201537,0.151153
14,0.302365,0.151183,0.193693,0.201577,0.151183
15,0.302424,0.151212,0.193535,0.201616,0.151212
16,0.302658,0.151329,0.192912,0.201772,0.151329
17,0.302856,0.151428,0.192385,0.201904,0.151428
18,0.302915,0.151457,0.192228,0.201943,0.151457
19,0.303112,0.151556,0.191701,0.202075,0.151556
20,0.30331,0.151655,0.191174,0.202207,0.151655
21,0.303369,0.151684,0.191016,0.202246,0.151684
22,0.303603,0.151802,0.190391,0.202402,0.151802
23,0.303801,0.1519,0.189864,0.202534,0.1519
24,0.30386,0.15193,0.189707,0.202573,0.15193
25,0.303919,0.15196,0.189549,0.202613,0.15196
26,0.304117,0.152058,0.189021,0.202745,0.152058
27,0.304315,0.152157,0.188493,0.202877,0.152157
28,0.304491,0.152246,0.188024,0.202994,0.152246
29,0.30455,0.152275,0.187866,0.203033,0.152275
30,0.304748,0.152374,0.187338,0.203166,0.152374
31,0.304807,0.152404,0.18718,0.203205,0.152404
32,0.305042,0.152521,0.186554,0.203362,0.152521
33,0.305241,0.15262,0.186025,0.203494,0.15262
34,0.305439,0.15272,0.185495,0.203626,0.15272
35,0.305616,0.152808,0.185025,0.203744,0.152808
36,0.305675,0.152837,0.184868,0.203783,0.152837
37,0.30591,0.152955,0.18424,0.20394,0.152955
38,0.306109,0.153054,0.18371,0.204073,0.153054
39,0.306308,0.153154,0.183179,0.204205,0.153154
40,0.306543,0.153272,0.182551,0.204362,0.153272
41,0.306742,0.153371,0.18202,0.204495,0.153371
42,0.306801,0.153401,0.181863,0.204534,0.153401
43,0.307037,0.153519,0.181234,0.204692,0.153519
44,0.307237,0.153618,0.180703,0.204824,0.153618
45,0.307414,0.153707,0.18023,0.204942,0.153707
46,0.30765,0.153825,0.1796,0.2051,0.153825
47,0.307886,0.153943,0.17897,0.205258,0.153943
48,0.307945,0.153973,0.178813,0.205297,0.153973
49,0.308145,0.154072,0.178281,0.20543,0.154072
50,0.308344,0.154172,0.177748,0.205563,0.154172
51,0.308544,0.154272,0.177216,0.205696,0.154272
52,0.308662,0.154331,0.176901,0.205775,0.154331
53,0.308862,0.154431,0.176368,0.205908,0.154431
54,0.308921,0.15446,0.176212,0.205947,0.15446
55,0.309158,0.154579,0.175579,0.206105,0.154579
56,0.309358,0.154679,0.175046,0.206238,0.154679
57,0.309476,0.154738,0.174731,0.206317,0.154738
58,0.309676,0.154838,0.174197,0.206451,0.154838
59,0.309876,0.154938,0.173663,0.206584,0.154938
60,0.310077,0.155038,0.173129,0.206718,0.155038
61,0.310195,0.155097,0.172814,0.206797,0.155097
62,0.310395,0.155198,0.172279,0.20693,0.155198
63,0.310454,0.155227,0.172123,0.206969,0.155227
64,0.310572,0.155286,0.171807,0.207048,0.155286
65,0.31075,0.155375,0.171332,0.207167,0.155375
66,0.310869,0.155434,0.171017,0.207246,0.155434
67,0.311069,0.155535,0.170482,0.20738,0.155535
68,0.311308,0.155654,0.169846,0.207538,0.155654
69,0.311508,0.155754,0.169311,0.207672,0.155754
70,0.311709,0.155855,0.168775,0.207806,0.155855
71,0.31191,0.155955,0.168239,0.20794,0.155955
72,0.312029,0.156014,0.167923,0.208019,0.156014
73,0.312207,0.156104,0.167447,0.208138,0.156104
74,0.312409,0.156204,0.16691,0.208272,0.156204
75,0.312647,0.156324,0.166273,0.208432,0.156324
76,0.312766,0.156383,0.165957,0.208511,0.156383
77,0.312967,0.156484,0.16542,0.208645,0.156484
78,0.313026,0.156513,0.165264,0.208684,0.156513
79,0.313084,0.156542,0.165108,0.208723,0.156542
80,0.313143,0.156571,0.164953,0.208762,0.156571
81,0.313344,0.156672,0.164415,0.208896,0.156672
82,0.313463,0.156732,0.164099,0.208975,0.156732
83,0.313582,0.156791,0.163782,0.209054,0.156791
84,0.313821,0.156911,0.163144,0.209214,0.156911
85,0.314061,0.15703,0.162505,0.209374,0.15703
86,0.314179,0.15709,0.162188,0.209453,0.15709
87,0.314238,0.157119,0.162032,0.209492,0.157119
88,0.31444,0.15722,0.161494,0.209627,0.15722
89,0.31468,0.15734,0.160854,0.209786,0.15734
90,0.314882,0.157441,0.160315,0.209921,0.157441
91,0.31494,0.15747,0.16016,0.20996,0.15747
92,0.315142,0.157571,0.159621,0.210095,0.157571
93,0.315201,0.1576,0.159465,0.210134,0.1576
94,0.315403,0.157701,0.158926,0.210269,0.157701
95,0.315522,0.157761,0.158608,0.210348,0.157761
96,0.315702,0.157851,0.158129,0.210468,0.157851
97,0.315881,0.157941,0.15765,0.210587,0.157941
98,0.316084,0.158042,0.15711,0.210722,0.158042
99,0.316286,0.158143,0.15657,0.210858,0.158143
100,0.316345,0.158172,0.156414,0.210896,0.158172
101,0.316403,0.158201,0.156259,0.210935,0.158201
102,0.316583,0.158291,0.15578,0.211055,0.158291
103,0.316786,0.158393,0.155239,0.21119,0.158393
104,0.316988,0.158494,0.154697,0.211326,0.158494
105,0.317169,0.158584,0.154217,0.211446,0.158584
106,0.317288,0.158644,0.1539,0.211525,0.158644
107,0.317468,0.158734,0.153419,0.211645,0.158734
108,0.317526,0.158763,0.153264,0.211684,0.158763
109,0.317729,0.158865,0.152722,0.211819,0.158865
110,0.317909,0.158955,0.152241,0.21194,0.158955
111,0.318029,0.159014,0.151923,0.212019,0.159014
112,0.31827,0.159135,0.151279,0.21218,0.159135
113,0.318451,0.159225,0.150798,0.212301,0.159225
114,0.318654,0.159327,0.150255,0.212436,0.159327
115,0.318712,0.159356,0.150101,0.212475,0.159356
116,0.318916,0.159458,0.149558,0.212611,0.159458
117,0.319096,0.159548,0.149078,0.21273,0.159548
118,0.319253,0.159626,0.14866,0.212835,0.159626
119,0.319287,0.159643,0.148569,0.212858,0.159643
120,0.31932,0.15966,0.148479,0.21288,0.15966
121,0.319477,0.159739,0.14806,0.212985,0.159739
122,0.319511,0.159756,0.14797,0.213008,0.159756
123,0.31973,0.159865,0.147387,0.213153,0.159865
124,0.31991,0.159955,0.146907,0.213273,0.159955
125,0.320005,0.160003,0.146652,0.213337,0.160003
126,0.320224,0.160112,0.146069,0.213483,0.160112
127,0.32032,0.16016,0.145814,0.213546,0.16016
128,0.320354,0.160177,0.145724,0.213569,0.160177
129,0.320449,0.160225,0.145469,0.213633,0.160225
130,0.320668,0.160334,0.144885,0.213779,0.160334
131,0.320887,0.160444,0.144301,0.213925,0.160444
132,0.321068,0.160534,0.14382,0.214045,0.160534
133,0.321102,0.160551,0.143729,0.214068,0.160551
134,0.321282,0.160641,0.143247,0.214188,0.160641
135,0.32144,0.16072,0.142827,0.214293,0.16072
136,0.321659,0.16083,0.142242,0.214439,0.16083
137,0.321693,0.160847,0.142152,0.214462,0.160847
138,0.321874,0.160937,0.14167,0.214583,0.160937
139,0.322094,0.161047,0.141084,0.214729,0.161047
140,0.322251,0.161126,0.140663,0.214834,0.161126
141,0.322347,0.161174,0.140408,0.214898,0.161174
142,0.322528,0.161264,0.139925,0.215019,0.161264
143,0.322748,0.161374,0.139338,0.215166,0.161374
144,0.322782,0.161391,0.139248,0.215188,0.161391
145,0.323002,0.161501,0.138661,0.215335,0.161501
146,0.323098,0.161549,0.138405,0.215399,0.161549
147,0.323194,0.161597,0.138149,0.215463,0.161597
148,0.32329,0.161645,0.137894,0.215527,0.161645
149,0.323386,0.161693,0.137638,0.215591,0.161693
150,0.323606,0.161803,0.13705,0.215738,0.161803
151,0.323788,0.161894,0.136566,0.215859,0.161894
152,0.324009,0.162004,0.135977,0.216006,0.162004
153,0.32419,0.162095,0.135492,0.216127,0.162095
154,0.324286,0.162143,0.135236,0.216191,0.162143
155,0.324468,0.162234,0.134752,0.216312,0.162234
156,0.32465,0.162325,0.134266,0.216433,0.162325
157,0.324746,0.162373,0.13401,0.216497,0.162373
158,0.324928,0.162464,0.133525,0.216619,0.162464
159,0.325087,0.162543,0.133101,0.216725,0.162543
160,0.325246,0.162623,0.132678,0.21683,0.162623
161,0.325428,0.162714,0.132192,0.216952,0.162714
162,0.325461,0.162731,0.132103,0.216974,0.162731
163,0.325558,0.162779,0.131846,0.217038,0.162779
164,0.32574,0.16287,0.13136,0.21716,0.16287
165,0.325774,0.162887,0.13127,0.217182,0.162887
166,0.325956,0.162978,0.130784,0.217304,0.162978
167,0.32599,0.162995,0.130694,0.217326,0.162995
168,0.326149,0.163074,0.13027,0.217432,0.163074
169,0.326245,0.163122,0.130013,0.217497,0.163122
170,0.326428,0.163214,0.129526,0.217618,0.163214
171,0.326461,0.163231,0.129437,0.217641,0.163231
172,0.326557,0.163279,0.12918,0.217705,0.163279
173,0.326654,0.163327,0.128923,0.217769,0.163327
174,0.326687,0.163344,0.128834,0.217791,0.163344
175,0.326909,0.163455,0.128242,0.21794,0.163455
176,0.327132,0.163566,0.127649,0.218088,0.163566
