game_id,a1,a2,a3,a4,a5
0,0.300206,0.150103,0.199451,0.200137,0.150103
1,0.300451,0.150226,0.198796,0.200301,0.150226
2,0.300697,0.150349,0.198141,0.200465,0.150349
3,0.300903,0.150452,0.197591,0.200602,0.150452
4,0.301149,0.150575,0.196935,0.200766,0.150575
5,0.301356,0.150678,0.196384,0.200904,0.150678
6,0.301404,0.150702,0.196257,0.200936,0.150702
7,0.30165,0.150825,0.1956,0.2011,0.150825
8,0.301896,0.150948,0.194943,0.201264,0.150948
9,0.301984,0.150992,0.19471,0.201322,0.150992
10,0.30223,0.151115,0.194053,0.201487,0.151115
11,0.302278,0.151139,0.193925,0.201519,0.151139
12,0.302365,0.151183,0.193692,0.201577,0.151183
13,0.302612,0.151306,0.193034,0.201742,0.151306
14,0.302859,0.15143,0.192376,0.201906,0.15143
15,0.303066,0.151533,0.191823,0.202044,0.151533
16,0.303114,0.151557,0.191696,0.202076,0.151557
17,0.303361,0.151681,0.191037,0.202241,0.151681
18,0.303409,0.151704,0.19091,0.202272,0.151704
19,0.303456,0.151728,0.190784,0.202304,0.151728
20,0.303704,0.151852,0.190124,0.202469,0.151852
21,0.303951,0.151975,0.189464,0.202634,0.151975
22,0.304038,0.152019,0.189231,0.202692,0.152019
23,0.304286,0.152143,0.188571,0.202857,0.152143
24,0.304534,0.152267,0.18791,0.203023,0.152267
25,0.304742,0.152371,0.187355,0.203161,0.152371
26,0.30499,0.152495,0.186694,0.203327,0.152495
27,0.305238,0.152619,0.186032,0.203492,0.152619
28,0.305285,0.152643,0.185906,0.203523,0.152643
29,0.305533,0.152767,0.185244,0.203689,0.152767
30,0.305581,0.15279,0.185118,0.203721,0.15279
31,0.305829,0.152915,0.184455,0.203886,0.152915
32,0.306078,0.153039,0.183792,0.204052,0.153039
33,0.306327,0.153163,0.183129,0.204218,0.153163
34,0.306535,0.153268,0.182573,0.204357,0.153268
35,0.306582,0.153291,0.182447,0.204388,0.153291
36,0.306831,0.153416,0.181783,0.204554,0.153416
37,0.30708,0.15354,0.181119,0.20472,0.15354
38,0.307289,0.153645,0.180562,0.204859,0.153645
39,0.307498,0.153749,0.180005,0.204999,0.153749
40,0.307707,0.153854,0.179448,0.205138,0.153854
41,0.307957,0.153978,0.178782,0.205304,0.153978
42,0.308206,0.154103,0.178116,0.205471,0.154103
43,0.308253,0.154127,0.177991,0.205502,0.154127
44,0.308503,0.154252,0.177325,0.205669,0.154252
45,0.308713,0.154356,0.176767,0.205808,0.154356
46,0.3088,0.1544,0.176533,0.205867,0.1544
47,0.308887,0.154444,0.1763,0.205925,0.154444
48,0.309138,0.154569,0.175633,0.206092,0.154569
49,0.309388,0.154694,0.174965,0.206259,0.154694
50,0.309435,0.154717,0.17484,0.20629,0.154717
51,0.309685,0.154843,0.174172,0.206457,0.154843
52,0.309732,0.154866,0.174048,0.206488,0.154866
53,0.309942,0.154971,0.173488,0.206628,0.154971
54,0.310152,0.155076,0.172929,0.206768,0.155076
55,0.310403,0.155201,0.17226,0.206935,0.155201
56,0.310654,0.155327,0.17159,0.207102,0.155327
57,0.310741,0.155371,0.171357,0.207161,0.155371
58,0.310992,0.155496,0.170687,0.207328,0.155496
59,0.311244,0.155622,0.170017,0.207496,0.155622
60,0.311454,0.155727,0.169456,0.207636,0.155727
61,0.311706,0.155853,0.168785,0.207804,0.155853
62,0.311957,0.155979,0.168114,0.207972,0.155979
63,0.312209,0.156105,0.167442,0.20814,0.156105
64,0.312256,0.156128,0.167319,0.20817,0.156128
65,0.312508,0.156254,0.166647,0.208338,0.156254
66,0.312554,0.156277,0.166523,0.208369,0.156277
67,0.312765,0.156382,0.165961,0.20851,0.156382
68,0.313017,0.156509,0.165288,0.208678,0.156509
69,0.313063,0.156532,0.165164,0.208709,0.156532
70,0.313316,0.156658,0.164491,0.208877,0.156658
71,0.313568,0.156784,0.163818,0.209045,0.156784
72,0.313821,0.15691,0.163144,0.209214,0.15691
73,0.314032,0.157016,0.16258,0.209355,0.157016
74,0.31412,0.15706,0.162347,0.209413,0.15706
75,0.314331,0.157166,0.161783,0.209554,0.157166
76,0.314584,0.157292,0.161108,0.209723,0.157292
77,0.314838,0.157419,0.160433,0.209892,0.157419
78,0.315091,0.157545,0.159758,0.210061,0.157545
79,0.315137,0.157568,0.159635,0.210091,0.157568
80,0.315349,0.157674,0.15907,0.210233,0.157674
81,0.315561,0.15778,0.158504,0.210374,0.15778
82,0.315815,0.157907,0.157828,0.210543,0.157907
83,0.316068,0.158034,0.157151,0.210712,0.158034
84,0.316322,0.158161,0.156474,0.210882,0.158161
85,0.316368,0.158184,0.156352,0.210912,0.158184
86,0.316622,0.158311,0.155674,0.211081,0.158311
87,0.316835,0.158417,0.155107,0.211223,0.158417
