condition,w1,w2,n_games,village_win_rate,wolf_vote_precision,wolf_vote_recall,false_accusation_rate,sigma_gap,combined_gap,avg_days
w1_1.0_w2_0.0,1.0,0.0,10000,1.0,0.5674,1.0,0.4326,0.0254,0.0693,2.6711
w1_0.8_w2_0.2,0.8,0.2,10000,0.3527,0.4238,0.8711,0.5762,0.0143,0.0521,2.6741
w1_0.6_w2_0.4,0.6,0.4,10000,0.3527,0.4238,0.8711,0.5762,0.0143,0.0426,2.6741
w1_0.4_w2_0.6,0.4,0.6,10000,0.3527,0.4238,0.8711,0.5762,0.0143,0.0332,2.6741
w1_0.2_w2_0.8,0.2,0.8,10000,0.3527,0.4238,0.8711,0.5762,0.0143,0.0237,2.6741
w1_0.0_w2_1.0,0.0,1.0,10000,0.3361,0.4018,0.8236,0.5982,0.0114,0.0114,2.6741
