game_id,n_rows,a1,a2,a3,a4,a5,w1,w2,avg_loss_sigma,avg_loss_combined
64,24,0.353584,0.070564,0.152567,0.236745,0.186539,0.54654,0.45346,0.134742,0.176345
65,24,0.353264,0.071034,0.152235,0.236847,0.18662,0.545314,0.454686,0.129455,0.16765
66,32,0.353894,0.06991,0.151864,0.237331,0.187001,0.545105,0.454895,0.133444,0.116504
67,26,0.354362,0.068976,0.150947,0.238105,0.187611,0.54412,0.45588,0.139507,0.170475
68,36,0.35464,0.067844,0.150801,0.238292,0.188424,0.543855,0.456145,0.129244,0.117674
69,24,0.354851,0.067137,0.151018,0.238309,0.188686,0.542936,0.457064,0.119823,0.146477
70,24,0.355278,0.066605,0.15083,0.238472,0.188815,0.542032,0.457968,0.121556,0.146593
71,32,0.355993,0.065524,0.150134,0.238952,0.189397,0.541514,0.458486,0.128974,0.134541
72,30,0.357151,0.063713,0.149174,0.239852,0.19011,0.541341,0.458659,0.138626,0.123434
73,36,0.35899,0.061243,0.148183,0.240656,0.190928,0.541273,0.458727,0.119015,0.099564
74,24,0.359775,0.059928,0.147768,0.241183,0.191346,0.54119,0.45881,0.12632,0.096694
75,30,0.359896,0.05954,0.147434,0.241518,0.191612,0.540688,0.459312,0.128815,0.133672
76,26,0.361284,0.057439,0.146221,0.242464,0.192592,0.539905,0.460095,0.137957,0.156632
77,26,0.361725,0.056333,0.145861,0.242907,0.193174,0.538893,0.461107,0.128552,0.164815
78,30,0.361762,0.056151,0.145504,0.243187,0.193396,0.538318,0.461682,0.129742,0.136283
79,26,0.362283,0.055575,0.144667,0.243684,0.193791,0.537256,0.462744,0.1304,0.168631
80,32,0.362977,0.054188,0.144614,0.2441,0.194122,0.537502,0.462498,0.109366,0.074602
81,32,0.363416,0.05324,0.143669,0.244595,0.195081,0.53686,0.46314,0.131836,0.147393
82,32,0.363986,0.051879,0.143894,0.244797,0.195444,0.537134,0.462866,0.112825,0.077779
83,32,0.365687,0.04986,0.14281,0.245577,0.196066,0.537009,0.462991,0.113322,0.099013
84,24,0.365736,0.050202,0.141788,0.245928,0.196347,0.535719,0.464281,0.133908,0.181108
85,26,0.366083,0.04956,0.141277,0.246375,0.196704,0.534616,0.465384,0.131908,0.17291
86,24,0.366539,0.048501,0.140507,0.247001,0.197452,0.533675,0.466325,0.130285,0.161438
87,32,0.366974,0.047605,0.14026,0.247295,0.197865,0.533151,0.466849,0.120451,0.126907
88,32,0.367699,0.046308,0.139953,0.247783,0.198256,0.533422,0.466578,0.112521,0.076175
89,24,0.368063,0.04558,0.13985,0.247905,0.198602,0.532547,0.467453,0.119988,0.143231
90,30,0.368834,0.044776,0.138948,0.248424,0.199018,0.531952,0.468048,0.123064,0.13383
91,26,0.369835,0.04352,0.138458,0.248838,0.199349,0.53085,0.46915,0.119707,0.157915
92,26,0.370824,0.042053,0.137711,0.249518,0.199894,0.529792,0.470208,0.127148,0.16482
93,36,0.372619,0.039502,0.136721,0.250296,0.200862,0.529651,0.470349,0.110067,0.0969
94,38,0.372541,0.039357,0.136556,0.250345,0.201201,0.52929,0.47071,0.127497,0.124675
95,24,0.372947,0.038549,0.136595,0.250546,0.201363,0.528027,0.471973,0.118998,0.162943
96,24,0.374241,0.036909,0.13581,0.251173,0.201867,0.527605,0.472395,0.120918,0.124593
97,26,0.375381,0.035495,0.135042,0.251624,0.202458,0.52698,0.47302,0.119027,0.132049
98,26,0.376266,0.034393,0.134514,0.252037,0.20279,0.525684,0.474316,0.117808,0.165418
99,24,0.376274,0.034476,0.134524,0.251981,0.202745,0.524204,0.475796,0.118598,0.173245
100,32,0.377356,0.032731,0.133783,0.252759,0.203371,0.524316,0.475684,0.12252,0.093244
101,32,0.379093,0.030816,0.13249,0.253575,0.204027,0.523748,0.476252,0.104684,0.108666
102,24,0.379232,0.030763,0.132289,0.253638,0.204078,0.522305,0.477695,0.124552,0.17753
103,24,0.38054,0.028942,0.132012,0.254075,0.20443,0.522465,0.477535,0.10414,0.066513
