game_id,n_rows,a1,a2,a3,a4,a5,w1,w2,avg_loss_sigma,avg_loss_combined
0,24,0.3004,0.1502,0.198932,0.200267,0.1502,0.600036,0.399964,0.127899,0.122666
1,24,0.300498,0.150349,0.198339,0.200465,0.150349,0.600018,0.399982,0.135711,0.133561
2,30,0.301504,0.150298,0.197503,0.200397,0.150298,0.599759,0.400241,0.103888,0.112361
3,30,0.302125,0.150362,0.196667,0.200483,0.150362,0.599756,0.400244,0.118559,0.111913
4,24,0.30245,0.150524,0.195805,0.200698,0.150524,0.599723,0.400277,0.125774,0.124673
5,24,0.302512,0.150654,0.195307,0.200872,0.150654,0.599581,0.400419,0.125197,0.127054
6,24,0.302644,0.15077,0.19479,0.201026,0.15077,0.599606,0.400394,0.124161,0.116053
7,30,0.303191,0.150746,0.194323,0.200995,0.150746,0.599283,0.400717,0.104332,0.113162
8,30,0.303554,0.15085,0.193612,0.201133,0.15085,0.599219,0.400781,0.120043,0.119718
9,24,0.303879,0.151007,0.192764,0.201343,0.151007,0.599244,0.400756,0.126907,0.122187
10,24,0.304351,0.150911,0.192611,0.201215,0.150911,0.598916,0.401084,0.108759,0.117811
11,24,0.304121,0.150797,0.193223,0.201063,0.150797,0.598781,0.401219,0.114363,0.113211
12,24,0.304829,0.150888,0.19221,0.201185,0.150888,0.598702,0.401298,0.108487,0.102936
13,24,0.305163,0.15089,0.19187,0.201187,0.15089,0.598525,0.401475,0.112238,0.118204
14,24,0.305993,0.150862,0.191134,0.201149,0.150862,0.598524,0.401476,0.102328,0.091336
15,24,0.30584,0.150885,0.19121,0.20118,0.150885,0.59844,0.40156,0.129115,0.130916
16,24,0.306168,0.151047,0.190343,0.201396,0.151047,0.598401,0.401599,0.133554,0.13278
17,30,0.3062,0.151102,0.190127,0.201469,0.151102,0.598325,0.401675,0.135731,0.137691
18,24,0.306113,0.151158,0.18953,0.201544,0.151655,0.598285,0.401715,0.125091,0.124414
19,30,0.306695,0.151204,0.188794,0.201605,0.151701,0.597993,0.402007,0.107234,0.114377
20,24,0.307054,0.151274,0.188203,0.201698,0.151771,0.597919,0.402081,0.1219,0.122841
21,24,0.307103,0.151347,0.18791,0.201796,0.151844,0.597876,0.402124,0.123562,0.116863
22,24,0.307394,0.151311,0.187737,0.201748,0.151809,0.59764,0.40236,0.116533,0.122596
23,30,0.307532,0.151419,0.187241,0.201892,0.151917,0.597667,0.402333,0.116466,0.109467
24,30,0.307524,0.151415,0.187263,0.201886,0.151912,0.597505,0.402495,0.117943,0.121526
25,24,0.307546,0.151426,0.187204,0.201901,0.151924,0.597317,0.402683,0.120937,0.124845
26,30,0.307617,0.15146,0.187017,0.201947,0.151958,0.597244,0.402756,0.115382,0.113387
27,24,0.307987,0.151643,0.18579,0.20219,0.15239,0.597299,0.402701,0.129889,0.123392
28,24,0.308054,0.151774,0.185284,0.202365,0.152522,0.597258,0.402742,0.133303,0.132687
29,30,0.308367,0.151913,0.184293,0.20255,0.152877,0.597283,0.402717,0.124881,0.11758
30,30,0.309092,0.151979,0.183348,0.202638,0.152943,0.5971,0.4029,0.10653,0.107179
31,30,0.309239,0.151948,0.183304,0.202597,0.152912,0.5969,0.4031,0.114,0.120041
32,30,0.309476,0.152064,0.18268,0.202752,0.153029,0.596908,0.403092,0.12817,0.124995
33,30,0.309816,0.152077,0.182297,0.202769,0.153042,0.596808,0.403192,0.117823,0.120163
34,24,0.309884,0.152208,0.181788,0.202944,0.153174,0.596772,0.403228,0.125435,0.124535
35,30,0.30968,0.152108,0.182328,0.202811,0.153073,0.596626,0.403374,0.128804,0.13473
36,30,0.30945,0.152185,0.181887,0.202913,0.153564,0.596553,0.403447,0.126605,0.125282
37,30,0.309441,0.15218,0.181912,0.202907,0.153559,0.596555,0.403445,0.117943,0.11296
38,30,0.309384,0.15231,0.181534,0.203081,0.153691,0.596688,0.403312,0.119608,0.103353
39,30,0.309982,0.152366,0.18075,0.203155,0.153747,0.596759,0.403241,0.119107,0.106725
40,30,0.310741,0.152533,0.179433,0.203378,0.153915,0.596736,0.403264,0.116258,0.111301
41,24,0.310938,0.15263,0.17891,0.203507,0.154013,0.59666,0.40334,0.129866,0.131227
42,30,0.311047,0.152684,0.178211,0.203578,0.15448,0.596663,0.403337,0.127653,0.124787
43,24,0.311886,0.152764,0.177104,0.203685,0.154561,0.59657,0.40343,0.115957,0.116677
44,30,0.311941,0.152791,0.176959,0.203721,0.154588,0.59654,0.40346,0.124427,0.123406
45,30,0.313057,0.15272,0.17608,0.203627,0.154517,0.596259,0.403741,0.099959,0.109469
46,24,0.313052,0.152718,0.175844,0.203624,0.154763,0.596154,0.403846,0.126834,0.130077
47,30,0.313708,0.152768,0.175021,0.20369,0.154814,0.596071,0.403929,0.119768,0.120619
48,24,0.31378,0.1529,0.174506,0.203867,0.154948,0.596101,0.403899,0.117256,0.108912
49,30,0.314379,0.15305,0.173188,0.204067,0.155315,0.596106,0.403894,0.123229,0.116479
50,24,0.314571,0.153144,0.172683,0.204192,0.15541,0.596078,0.403922,0.115374,0.109864
51,30,0.314631,0.153173,0.172526,0.20423,0.15544,0.596049,0.403951,0.124474,0.12343
52,24,0.314741,0.153323,0.171912,0.204431,0.155593,0.596035,0.403965,0.127676,0.125364
53,30,0.315442,0.15326,0.171423,0.204347,0.155528,0.595878,0.404122,0.106351,0.106595
54,30,0.315476,0.153315,0.171204,0.20442,0.155584,0.595803,0.404197,0.13573,0.13769
55,30,0.315581,0.153405,0.170798,0.20454,0.155676,0.595664,0.404336,0.11998,0.122556
56,30,0.31582,0.153522,0.170168,0.204696,0.155794,0.595672,0.404328,0.128075,0.124978
57,30,0.315653,0.15344,0.170195,0.204587,0.156124,0.595574,0.404426,0.122371,0.125601
58,30,0.315642,0.153435,0.170226,0.20458,0.156118,0.595413,0.404587,0.117948,0.121547
59,30,0.315731,0.153493,0.16994,0.204658,0.156178,0.595506,0.404494,0.115825,0.101446
60,30,0.315987,0.153602,0.168906,0.204803,0.156702,0.595526,0.404474,0.124313,0.117376
61,24,0.316805,0.153666,0.167874,0.204888,0.156767,0.595413,0.404587,0.113807,0.115941
62,24,0.316838,0.153779,0.167215,0.205038,0.15713,0.595392,0.404608,0.135337,0.133431
63,24,0.317096,0.153901,0.166546,0.205201,0.157255,0.595321,0.404679,0.130353,0.131369
64,30,0.317206,0.153954,0.165847,0.205272,0.157722,0.595324,0.404676,0.127552,0.124765
65,30,0.317815,0.153975,0.165166,0.2053,0.157744,0.595251,0.404749,0.120862,0.12098
66,30,0.318093,0.153894,0.165159,0.205192,0.157661,0.595028,0.404972,0.121695,0.131089
67,30,0.318241,0.154005,0.164425,0.205339,0.15799,0.594917,0.405083,0.122556,0.123892
68,30,0.318892,0.154178,0.163191,0.205571,0.158168,0.594905,0.405095,0.121409,0.115838
69,30,0.319251,0.154136,0.162561,0.205515,0.158537,0.594791,0.405209,0.121475,0.124378
70,30,0.319608,0.154099,0.161917,0.205465,0.158911,0.594685,0.405315,0.117237,0.119829
71,30,0.319794,0.154118,0.161252,0.205491,0.159344,0.594599,0.405401,0.117723,0.118766
72,24,0.320317,0.154266,0.159983,0.205688,0.159746,0.594612,0.405388,0.125667,0.12161
73,24,0.320164,0.154288,0.160061,0.205718,0.159769,0.594531,0.405469,0.129316,0.130998
74,30,0.320623,0.154335,0.159231,0.205779,0.160032,0.594544,0.405456,0.118702,0.109567
75,30,0.320463,0.154258,0.159237,0.205677,0.160365,0.594433,0.405567,0.132158,0.136177
76,24,0.320766,0.154399,0.158457,0.205866,0.160512,0.594434,0.405566,0.124317,0.121269
77,24,0.320876,0.154453,0.158167,0.205937,0.160567,0.594251,0.405749,0.121151,0.124987
78,30,0.321235,0.154387,0.157616,0.20585,0.160912,0.594101,0.405899,0.111048,0.116315
79,24,0.321233,0.154482,0.157048,0.205976,0.161259,0.594062,0.405938,0.125101,0.124415
80,30,0.321162,0.154467,0.156758,0.205956,0.161656,0.594139,0.405861,0.119147,0.107295
81,30,0.321195,0.154483,0.156672,0.205977,0.161673,0.593991,0.406009,0.119045,0.122152
82,24,0.321669,0.154711,0.155179,0.206281,0.16216,0.594047,0.405953,0.129865,0.123457
83,30,0.322213,0.154762,0.154464,0.206349,0.162213,0.593994,0.406006,0.121095,0.119999
84,24,0.322232,0.154771,0.154414,0.206361,0.162223,0.593808,0.406192,0.120919,0.124876
85,30,0.322281,0.154794,0.154286,0.206392,0.162247,0.593722,0.406278,0.113759,0.112892
86,30,0.322274,0.154853,0.153896,0.20647,0.162507,0.593843,0.406157,0.123935,0.108743
87,30,0.322516,0.154969,0.153262,0.206625,0.162629,0.59386,0.40614,0.123899,0.117233
88,30,0.323418,0.154876,0.152673,0.206501,0.162532,0.59371,0.40629,0.097188,0.097507
89,30,0.323395,0.154865,0.152733,0.206487,0.16252,0.593661,0.406339,0.120595,0.1209
90,24,0.323506,0.154918,0.152443,0.206557,0.162576,0.593585,0.406415,0.121378,0.122819
91,24,0.323505,0.155013,0.151873,0.206684,0.162924,0.593612,0.406388,0.116906,0.108782
92,30,0.324229,0.155002,0.150989,0.206669,0.163111,0.593405,0.406595,0.108156,0.11481
93,30,0.32447,0.155116,0.150361,0.206822,0.163231,0.593378,0.406622,0.119476,0.115511
94,30,0.324435,0.155138,0.150109,0.20685,0.163469,0.593319,0.406681,0.119516,0.120546
